iter	Passed	Remaining
0	1	474
1	2	403
2	5	539
3	7	521
4	8	488
5	9	487
6	12	512
7	13	496
8	16	528
9	30	884
10	33	875
11	34	820
12	41	917
13	44	902
14	46	890
15	48	857
16	50	840
17	52	823
18	54	800
19	55	783
20	60	801
21	63	799
22	65	784
23	66	765
24	68	750
25	69	735
26	71	721
27	72	707
28	74	694
29	75	681
30	77	668
31	78	657
32	79	645
33	81	634
34	82	626
35	84	620
36	86	611
37	87	605
38	89	597
39	90	589
40	92	581
41	93	574
42	94	566
43	96	559
44	97	552
45	99	547
46	100	542
47	102	537
48	103	531
49	105	525
50	106	520
51	107	514
52	109	508
53	110	503
54	111	498
55	113	493
56	114	489
57	116	484
58	117	480
59	118	475
60	120	470
61	121	465
62	122	461
63	123	457
64	125	453
65	126	449
66	128	446
67	129	443
68	131	439
69	132	436
70	134	432
71	135	428
72	136	425
73	138	421
74	139	417
75	140	414
76	142	411
77	143	408
78	144	404
79	146	402
80	147	399
81	149	396
82	150	393
83	151	390
84	153	387
85	154	384
86	155	381
87	156	378
88	158	375
89	159	372
90	161	369
91	162	367
92	164	365
93	165	362
94	166	360
95	168	357
96	169	355
97	171	352
98	172	350
99	173	347
100	175	345
101	176	343
102	178	341
103	179	338
104	181	336
105	182	334
106	184	332
107	185	329
108	186	327
109	188	325
110	189	322
111	190	320
112	192	318
113	194	316
114	195	314
115	197	312
116	198	310
117	199	308
118	201	306
119	202	303
120	203	301
121	205	299
122	206	297
123	208	295
124	209	293
125	211	291
126	212	289
127	214	287
128	215	285
129	216	283
130	218	281
131	219	279
132	221	277
133	222	275
134	224	273
135	225	271
136	226	269
137	228	267
138	229	265
139	230	263
140	232	261
141	233	259
142	234	257
143	235	255
144	237	253
145	238	251
146	240	250
147	241	248
148	242	246
149	244	244
150	245	242
151	246	240
152	248	238
153	249	236
154	250	234
155	252	232
156	253	230
157	255	229
158	256	227
159	258	225
160	259	224
161	260	222
162	262	220
163	263	218
164	264	216
165	266	214
166	267	213
167	268	211
168	270	209
169	271	207
170	273	206
171	274	204
172	275	202
173	277	200
174	278	198
175	279	197
176	281	195
177	282	193
178	283	191
179	285	190
180	286	188
181	288	186
182	289	185
183	291	183
184	292	181
185	294	180
186	295	178
187	296	176
188	298	175
189	299	173
190	300	171
191	302	170
192	303	168
193	305	166
194	306	165
195	307	163
196	309	161
197	310	159
198	311	158
199	313	156
200	314	154
201	315	153
202	317	151
203	318	149
204	319	148
205	321	146
206	322	144
207	323	143
208	325	141
209	326	139
210	328	138
211	329	136
212	331	135
213	332	133
214	334	132
215	335	130
216	336	128
217	338	127
218	339	125
219	340	123
220	342	122
221	343	120
222	344	119
223	346	117
224	347	115
225	349	114
226	351	113
227	352	111
228	354	109
229	355	108
230	357	106
231	358	105
232	359	103
233	360	101
234	362	100
235	363	98
236	365	97
237	367	95
238	368	94
239	369	92
240	371	90
241	372	89
242	373	87
243	375	86
244	376	84
245	377	82
246	379	81
247	380	79
248	382	78
249	383	76
250	384	75
251	386	73
252	387	72
253	388	70
254	390	68
255	391	67
256	392	65
257	394	64
258	395	62
259	397	61
260	398	59
261	400	58
262	401	56
263	402	54
264	403	53
265	405	51
266	406	50
267	407	48
268	409	47
269	410	45
270	412	44
271	413	42
272	415	41
273	416	39
274	417	37
275	419	36
276	420	34
277	421	33
278	423	31
279	424	30
280	426	28
281	427	27
282	429	25
283	430	24
284	431	22
285	433	21
286	434	19
287	435	18
288	437	16
289	438	15
290	439	13
291	441	12
292	442	10
293	444	9
294	445	7
295	446	6
296	448	4
297	449	3
298	450	1
299	452	0
